epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
55,0.7526,0.7573,0.9926,0.9897,0.4242,0.5898,0.417,0.3927,0.5449,0.4114,0.3927,0.9993,0.2047,0.468,0.3793,0.7727,0.468,0.9931,0.1616,0.4119,0.3656,0.5853,0.3904,0.9986,0.3016
56,0.7523,0.7637,0.9926,0.9903,0.4396,0.5944,0.4325,0.3837,0.5712,0.3758,0.3837,0.9995,0.2015,0.4998,0.3945,0.8198,0.4998,0.9931,0.1758,0.4355,0.3925,0.5876,0.414,0.9987,0.3208
57,0.7521,0.7533,0.9929,0.9905,0.4309,0.5574,0.4201,0.3492,0.5599,0.3315,0.3492,0.9996,0.1898,0.495,0.4067,0.7938,0.495,0.9935,0.1782,0.4484,0.4296,0.5468,0.4161,0.9991,0.3216
58,0.7513,0.755,0.9929,0.9903,0.4283,0.5629,0.4176,0.3676,0.5299,0.3633,0.3676,0.9995,0.1916,0.4804,0.4067,0.759,0.4804,0.9938,0.1771,0.437,0.3958,0.5662,0.4047,0.9989,0.3157
59,0.7515,0.7546,0.993,0.9904,0.4306,0.563,0.4199,0.365,0.5352,0.3588,0.365,0.9995,0.1925,0.4879,0.4047,0.7813,0.4879,0.9936,0.1776,0.4391,0.415,0.5489,0.4068,0.999,0.3167
60,0.7517,0.7545,0.9929,0.9903,0.4184,0.5577,0.4148,0.3539,0.5403,0.3473,0.3539,0.9996,0.1917,0.4935,0.4091,0.7916,0.4935,0.9935,0.1848,0.4078,0.4128,0.5342,0.3971,0.9991,0.3134
61,0.7517,0.764,0.9929,0.9898,0.4298,0.5882,0.4226,0.373,0.5488,0.3668,0.373,0.9995,0.1994,0.4871,0.3878,0.817,0.4871,0.9927,0.1711,0.4292,0.3961,0.5807,0.4077,0.9988,0.3193
62,0.7513,0.7634,0.9929,0.9897,0.4314,0.6013,0.4243,0.3861,0.545,0.3889,0.3861,0.9994,0.1985,0.4844,0.3833,0.8162,0.4844,0.9926,0.1687,0.4238,0.375,0.5989,0.4023,0.9987,0.3088
63,0.7513,0.7564,0.993,0.9904,0.4302,0.5667,0.4194,0.3688,0.5378,0.3637,0.3688,0.9995,0.1961,0.4896,0.4048,0.7777,0.4896,0.9936,0.18,0.4321,0.4023,0.5587,0.3998,0.9989,0.3084
64,0.7511,0.7568,0.9929,0.9899,0.4292,0.5805,0.4184,0.3832,0.5432,0.3803,0.3832,0.9994,0.1964,0.4713,0.386,0.7712,0.4713,0.9932,0.1696,0.433,0.3746,0.5899,0.4008,0.9987,0.2994
65,0.7506,0.7561,0.993,0.9904,0.4379,0.5762,0.4271,0.3874,0.5375,0.3882,0.3874,0.9994,0.2011,0.4865,0.4036,0.7756,0.4865,0.9936,0.1776,0.4396,0.4033,0.5647,0.4073,0.9989,0.3156
66,0.7516,0.7535,0.9929,0.9904,0.4238,0.5539,0.4131,0.347,0.5559,0.3276,0.347,0.9996,0.1835,0.4951,0.4129,0.7885,0.4951,0.9936,0.182,0.4293,0.4027,0.5456,0.3971,0.999,0.3103
67,0.7508,0.756,0.9929,0.9904,0.4218,0.5499,0.411,0.3554,0.5461,0.3426,0.3554,0.9995,0.1897,0.4808,0.4122,0.7538,0.4808,0.9939,0.1811,0.4291,0.3963,0.5532,0.3968,0.9989,0.31
68,0.751,0.7546,0.993,0.9896,0.3779,0.5026,0.3707,0.3357,0.5206,0.3237,0.3357,0.9994,0.1718,0.4258,0.3917,0.6485,0.4258,0.9945,0.1662,0.3722,0.3554,0.5357,0.3507,0.9985,0.2597
69,0.7517,0.7522,0.993,0.9902,0.4238,0.5642,0.4166,0.3619,0.5405,0.3505,0.3619,0.9995,0.1881,0.4909,0.4085,0.7879,0.4909,0.9935,0.1828,0.4186,0.3925,0.5543,0.3971,0.9989,0.3049
70,0.7515,0.7512,0.993,0.9903,0.3968,0.5125,0.3897,0.3434,0.5133,0.3397,0.3434,0.9994,0.1839,0.4535,0.4303,0.6778,0.4535,0.9947,0.1829,0.3936,0.3855,0.5199,0.3721,0.9989,0.2985
