Epoch,Train Loss,Train Accuracy,Total Dice,Total Recall,Total F1 Score,WT Dice,WT Prec,WT Recall,WT F1,WT Spec,WT Boundary DICE,TC Dice,TC Prec,TC Recall,TC F1,TC Spec,TC Boundary DICE,ET Dice,ET Prec,ET Recall,ET F1,ET Spec,ET Boundary DICE,Val_Loss,Val_Acc
43,0.48,0.9969,0.6922,0.7704,0.6922,0.5772,0.5865,0.6395,0.5772,0.9995,0.379,0.7901,0.7587,0.8576,0.7901,0.9987,0.5016,0.7092,0.6646,0.814,0.7092,0.9994,0.5296,0.7181,0.9688
44,0.4508,0.9972,0.7086,0.7791,0.7086,0.6022,0.616,0.662,0.6022,0.9996,0.4036,0.7991,0.7714,0.8568,0.7991,0.9988,0.5126,0.7245,0.6834,0.8183,0.7245,0.9994,0.5516,0.7279,0.9372
45,0.4218,0.9972,0.7148,0.7817,0.7148,0.6205,0.6367,0.6775,0.6205,0.9996,0.4203,0.8002,0.7771,0.8528,0.8002,0.9989,0.5218,0.7238,0.6862,0.8147,0.7238,0.9995,0.5574,0.7045,0.9644
46,0.3912,0.9974,0.7292,0.7886,0.7292,0.6375,0.6449,0.7008,0.6375,0.9996,0.433,0.8127,0.7934,0.8557,0.8127,0.999,0.5357,0.7373,0.7109,0.8094,0.7373,0.9995,0.5771,0.6978,0.9661
47,0.368,0.9973,0.7276,0.7853,0.7276,0.6369,0.6548,0.698,0.6369,0.9996,0.4329,0.8111,0.7942,0.851,0.8111,0.999,0.5423,0.7347,0.7115,0.807,0.7347,0.9995,0.5798,0.6966,0.9725
48,0.3436,0.9974,0.7373,0.7871,0.7362,0.6486,0.6633,0.7096,0.6486,0.9997,0.4462,0.8124,0.7987,0.8485,0.8124,0.999,0.5392,0.7511,0.7269,0.8031,0.7477,0.9996,0.5987,0.6969,0.9375
49,0.3208,0.9975,0.7461,0.7912,0.7461,0.6677,0.6838,0.716,0.6677,0.9997,0.4665,0.8192,0.8066,0.8528,0.8192,0.9991,0.5508,0.7514,0.7357,0.8048,0.7514,0.9996,0.6081,0.6814,0.9592
50,0.3024,0.9975,0.7498,0.793,0.7498,0.6714,0.6889,0.7234,0.6714,0.9997,0.4718,0.8206,0.8084,0.853,0.8206,0.999,0.5511,0.7573,0.7478,0.8025,0.7573,0.9996,0.6224,0.6812,0.9458
51,0.2868,0.9976,0.7504,0.7905,0.7504,0.6711,0.6931,0.7156,0.6711,0.9997,0.473,0.8251,0.816,0.8508,0.8251,0.9991,0.5611,0.7551,0.7449,0.805,0.7551,0.9996,0.6174,0.6661,0.965
52,0.2736,0.9976,0.7537,0.7919,0.7537,0.6762,0.6966,0.7257,0.6762,0.9997,0.4821,0.8241,0.8176,0.8493,0.8241,0.9991,0.5598,0.7609,0.7571,0.8007,0.7609,0.9996,0.6278,0.635,0.9835
53,0.2612,0.9976,0.7571,0.7942,0.7571,0.6794,0.71,0.7233,0.6794,0.9997,0.485,0.8271,0.816,0.8555,0.8271,0.9991,0.5648,0.7648,0.7577,0.8037,0.7648,0.9996,0.6352,0.6388,0.9578
54,0.2475,0.9977,0.7643,0.7956,0.7643,0.6911,0.7171,0.7298,0.6911,0.9997,0.4979,0.8316,0.8232,0.8551,0.8316,0.9991,0.576,0.7702,0.7686,0.8021,0.7702,0.9997,0.6466,0.6378,0.9559
