epoch,train_loss,val_loss,dice_wt,dice_tc,dice_et,dice_total,precision_wt,precision_tc,precision_et,precision_total,recall_wt,recall_tc,recall_et,recall_total,f1_wt,f1_tc,f1_et,f1_total,specificity_wt,specificity_tc,specificity_et,train_accuracy,boundary_dice_wt,boundary_dice_tc,boundary_dice_et,Val_Accuracy
23,0.228062461,0.475309416,0.341060721,0.31269251,0.368806164,0.340853132,0.316367662,0.201917342,0.304575762,0.274286922,0.36993479,0.692742434,0.467366704,0.510014643,0.341060721,0.312692522,0.368806164,0.340853136,0.997808852,0.981644841,0.997942411,0.996799627,0.124237139,0.083124799,0.088952433,0.9954
24,0.225100549,0.487839949,0.261867195,0.215753487,0.1146557,0.197425461,0.170559763,0.141471732,0.06201591,0.124682469,0.56356711,0.454279275,0.758360287,0.592068891,0.261867195,0.215753478,0.1146557,0.197425458,0.992487748,0.981519234,0.977883606,0.996807246,0.110536819,0.077489054,0.087013018,0.9954
25,0.224989836,0.497844277,0.283096612,0.430775891,0.440023688,0.384632063,0.401911708,0.328192534,0.421575293,0.383893178,0.218501989,0.626647519,0.4601606,0.43510337,0.283096612,0.430775891,0.440023688,0.384632063,0.999108737,0.991400928,0.998782616,0.996888087,0.154598688,0.134739981,0.166909172,0.9954
26,0.217310796,0.452445379,0.357664931,0.470671534,0.339039107,0.389125191,0.269441638,0.434626653,0.23987164,0.314646644,0.531788463,0.513235698,0.577991858,0.54100534,0.357664931,0.470671534,0.339039107,0.389125191,0.996047743,0.995524434,0.996468362,0.996995182,0.109453587,0.076616348,0.117865953,0.9954
27,0.217215851,0.437396458,0.372106101,0.389586642,0.389753487,0.38381541,0.29196534,0.294027805,0.294348194,0.293447113,0.512887053,0.577164816,0.57666413,0.555572,0.372106101,0.389586642,0.389753487,0.38381541,0.996590733,0.990710098,0.997334379,0.997040012,0.12743151,0.087591261,0.105290212,0.9954
28,0.213043872,0.456084322,0.353420545,0.535118804,0.345051856,0.411197068,0.308797044,0.583155753,0.252067141,0.38133998,0.413119416,0.494393563,0.546736913,0.484749964,0.353420545,0.535118804,0.345051856,0.411197068,0.997465315,0.99763095,0.996871968,0.997057903,0.162449883,0.132371092,0.179946499,0.9954
29,0.209706241,0.45195113,0.389506185,0.402113315,0.359632238,0.383750579,0.468030681,0.301039548,0.26094262,0.343337617,0.33354518,0.605363628,0.578376838,0.505761882,0.389506185,0.402113315,0.359632238,0.383750579,0.998960839,0.990577688,0.996841431,0.99707028,0.144038952,0.107007154,0.106640698,0.9954
30,0.207474368,0.437897611,0.360841903,0.36452236,0.2263234,0.317229221,0.256618453,0.274988231,0.134967798,0.222191494,0.60762288,0.540507639,0.700408928,0.616179816,0.360841903,0.36452236,0.2263234,0.317229221,0.995175259,0.990446887,0.99134434,0.997079208,0.171053976,0.151860977,0.181753408,0.9954
31,0.20490445,0.452911513,0.329808926,0.338737205,0.233555281,0.300700471,0.247356378,0.247777276,0.140387678,0.211840444,0.494714656,0.535217459,0.694371709,0.574767942,0.329808926,0.338737205,0.233555281,0.300700471,0.995873925,0.989107505,0.991801922,0.997144152,0.090371955,0.055235263,0.068992613,0.9954
32,0.201226408,0.496890893,0.23451782,0.272446841,0.13709225,0.214685637,0.146905526,0.211937136,0.075790894,0.144877852,0.581043786,0.381315345,0.717092823,0.559817318,0.23451782,0.272446841,0.13709225,0.214685637,0.990751232,0.990495042,0.983139325,0.997111047,0.115337844,0.079905439,0.071913742,0.9954
33,0.203124251,0.476401691,0.234105404,0.28190478,0.090272955,0.20209438,0.14838273,0.205058891,0.047752148,0.133731256,0.554375486,0.450867545,0.824019134,0.609754055,0.234105404,0.28190478,0.090272952,0.202094379,0.991278702,0.988282973,0.968315944,0.997011153,0.143153277,0.118386855,0.110613411,0.9954
34,0.188181051,0.445195569,0.330286103,0.389838682,0.204022416,0.308049067,0.241765308,0.316036716,0.11859726,0.225466428,0.521073937,0.508611325,0.729423105,0.586369456,0.330286103,0.389838682,0.204022416,0.308049067,0.995520546,0.99262107,0.989547369,0.997164406,0.112015245,0.075017375,0.05828157,0.9954
35,0.183294777,0.437653987,0.349034309,0.397474552,0.238552425,0.328353762,0.271977989,0.312117887,0.142577778,0.242224551,0.487014351,0.547090533,0.729828093,0.587977659,0.349034309,0.397474552,0.238552425,0.328353762,0.996426708,0.99191711,0.991537282,0.997202594,0.138581467,0.094629014,0.077958863,0.9954
36,0.180776542,0.423145154,0.367162678,0.41610201,0.319045866,0.367436852,0.273249087,0.331925438,0.208315493,0.271163339,0.559436748,0.557479209,0.681068972,0.59932831,0.367162678,0.41610201,0.319045866,0.367436852,0.995921562,0.992478141,0.995009224,0.997302028,0.149880153,0.123610209,0.162160479,0.9954
37,0.179512791,0.461911267,0.212084667,0.293800058,0.126072609,0.210652444,0.127423516,0.217620731,0.068601035,0.137881761,0.631970973,0.452038663,0.777100644,0.620370093,0.212084667,0.293800058,0.126072609,0.210652444,0.98813775,0.989105564,0.979656357,0.997275237,0.187978651,0.127659295,0.142362857,0.9954
38,0.178253903,0.460678347,0.246988415,0.295089117,0.163196579,0.23509137,0.167852167,0.194888113,0.091696298,0.151478859,0.467306673,0.607362098,0.740964027,0.605210932,0.246988415,0.295089117,0.163196579,0.23509137,0.99364974,0.983179818,0.985847838,0.997260442,0.093685658,0.092137601,0.116874956,0.9954
39,0.176889786,0.443136692,0.32789776,0.35560289,0.243054488,0.308851713,0.25332102,0.257909257,0.145442129,0.218890802,0.464705189,0.572436542,0.739087021,0.592076251,0.32789776,0.35560289,0.243054488,0.308851713,0.996245464,0.988958463,0.991626766,0.997292727,0.1925519,0.145767931,0.196162067,0.9954
40,0.176333908,0.429156493,0.361428034,0.507854473,0.381323142,0.41686855,0.319244009,0.448206565,0.274615614,0.347355396,0.416457595,0.585815563,0.623658404,0.541977187,0.361428034,0.507854473,0.381323142,0.41686855,0.997565804,0.99516528,0.996823593,0.997408411,0.125577082,0.082831164,0.084689269,0.9954
41,0.174681132,0.424999732,0.362858555,0.40397512,0.316348292,0.361060656,0.261584713,0.31820919,0.207130494,0.262308132,0.592088673,0.553032151,0.669222491,0.604781105,0.362858555,0.40397512,0.316348292,0.361060656,0.995418675,0.992056701,0.995060596,0.997433274,0.202906892,0.145054228,0.195741279,0.9954
42,0.172080526,0.431285866,0.37209782,0.406702685,0.304798694,0.361199733,0.302106239,0.311186354,0.196371373,0.269887989,0.484299759,0.586823909,0.680588808,0.583904159,0.37209782,0.406702685,0.304798694,0.361199733,0.996933381,0.991292347,0.994629578,0.997427651,0.114268297,0.085145612,0.095364398,0.9954
43,0.167551879,0.449533755,0.266493447,0.306518133,0.190699518,0.254570366,0.174521104,0.209930518,0.109450075,0.164633899,0.563409185,0.567724212,0.740127983,0.623753794,0.266493447,0.306518133,0.190699518,0.254570366,0.992695374,0.985676827,0.988388311,0.997404637,0.176212799,0.123989315,0.151165681,0.9954
44,0.166074181,0.426046414,0.378575468,0.518307841,0.367734327,0.421539212,0.31635666,0.483532504,0.25861885,0.352836004,0.471259477,0.558472837,0.63612631,0.555286208,0.378575468,0.518307841,0.367734327,0.421539212,0.997208557,0.996001183,0.99648382,0.997472723,0.116747544,0.097511783,0.184266053,0.9954
45,0.165202506,0.432672707,0.34551475,0.440099967,0.341680214,0.375764977,0.247450795,0.376375638,0.230076076,0.28463417,0.572325509,0.529800777,0.663553277,0.588559854,0.34551475,0.440099967,0.341680214,0.375764977,0.995229047,0.994115274,0.995718475,0.997432692,0.183352458,0.11570593,0.168470002,0.9954
46,0.164459112,0.466192524,0.205416941,0.286699049,0.113619014,0.201911668,0.123584979,0.202727373,0.061203284,0.129171878,0.608014703,0.489422795,0.791329758,0.629589086,0.205416941,0.286699049,0.113619009,0.201911666,0.988181177,0.987096998,0.976595427,0.997462225,0.179042936,0.129368545,0.135959512,0.9954
47,0.163893057,0.451349961,0.430238933,0.574141019,0.562696333,0.522358762,0.601332122,0.598640395,0.640001515,0.613324677,0.334940463,0.551568078,0.502053734,0.462854091,0.430238933,0.574141019,0.562696333,0.522358762,0.999391332,0.997520987,0.999455477,0.997530875,0.187462748,0.118650227,0.17301113,0.9954
48,0.163029237,0.465170525,0.227101747,0.323458843,0.13397833,0.22817964,0.14058626,0.262379208,0.073128841,0.158698103,0.590474004,0.421604845,0.797899281,0.603326043,0.227101747,0.323458843,0.133978337,0.228179642,0.990105902,0.992054496,0.980500426,0.997434789,0.127864971,0.090229306,0.083149808,0.9954
49,0.161790889,0.427975151,0.357576247,0.458857755,0.35479372,0.390409241,0.278540273,0.374872418,0.242114907,0.298509199,0.49923428,0.591339826,0.663654524,0.584742877,0.357576247,0.458857755,0.35479372,0.390409241,0.996455585,0.993389498,0.995994375,0.997469996,0.171597947,0.115620698,0.214590025,0.9954
50,0.161243022,0.435997794,0.350222992,0.416563002,0.319136984,0.361974326,0.269587969,0.329619217,0.209446081,0.269551089,0.499679456,0.565805815,0.670060354,0.578515208,0.350222992,0.416563002,0.319136984,0.361974326,0.996289137,0.992285842,0.995123373,0.997566528,0.156281543,0.093509573,0.112855369,0.9954
51,0.160928654,0.441904268,0.341490346,0.432236671,0.282177828,0.351968282,0.257989577,0.365884164,0.176749014,0.266874252,0.504908886,0.527986105,0.699306126,0.577400372,0.341490346,0.432236671,0.282177828,0.351968282,0.996019507,0.993865777,0.993719576,0.997566927,0.092156515,0.086138708,0.094824276,0.9954
52,0.160681277,0.429476097,0.36111311,0.442781441,0.372679277,0.392191276,0.279562219,0.347559998,0.261115466,0.296079228,0.509837406,0.609867631,0.650693722,0.59013292,0.36111311,0.442781441,0.372679277,0.392191276,0.996398647,0.992325352,0.996449684,0.997586246,0.18839331,0.136976243,0.202858137,0.9954
53,0.160450333,0.451632638,0.281173939,0.364308025,0.214443401,0.286641788,0.187052719,0.285417649,0.125185935,0.199218768,0.565947499,0.503468324,0.74718737,0.605534398,0.281173939,0.364308025,0.214443401,0.286641788,0.993257973,0.991550019,0.989932164,0.997630372,0.166026657,0.115779678,0.134769747,0.9954
54,0.160165194,0.436706257,0.354097688,0.398711342,0.316360488,0.356389839,0.279713573,0.299099584,0.207350246,0.262054468,0.482375643,0.597802875,0.667047201,0.582408573,0.354097688,0.398711342,0.316360488,0.356389839,0.996595188,0.990609026,0.995083232,0.997681143,0.187304637,0.112010092,0.164230756,0.9954
55,0.159692274,0.456974568,0.265565051,0.345684064,0.190435226,0.267228114,0.175017201,0.264987888,0.108965932,0.18299034,0.550240429,0.497049428,0.754672358,0.600654072,0.265565051,0.345684064,0.190435226,0.267228114,0.992890605,0.990757698,0.988101057,0.997582637,0.114346547,0.108623389,0.17203118,0.9954
56,0.15959035,0.461982278,0.201947629,0.298769306,0.133867289,0.211528075,0.120924029,0.217268644,0.073254741,0.137149138,0.61203153,0.478118635,0.775689251,0.621946472,0.201947629,0.298769306,0.133867289,0.211528075,0.987804388,0.988453152,0.981078359,0.997429542,0.19914929,0.122571435,0.153018981,0.9954
57,0.159499339,0.434523529,0.341671963,0.451492229,0.313026955,0.368730382,0.243443102,0.413572612,0.201892476,0.28630273,0.572792879,0.4970673,0.696332987,0.588731055,0.341671963,0.451492229,0.313026955,0.368730382,0.995120697,0.995275131,0.994692321,0.997662593,0.16554956,0.102246475,0.113499864,0.9954
58,0.159429086,0.465452663,0.228309599,0.344871496,0.187451715,0.25354427,0.139727111,0.291355367,0.106844943,0.17930914,0.623741834,0.422470918,0.763325624,0.603179459,0.228309599,0.344871496,0.187451715,0.25354427,0.989473683,0.993111663,0.987696488,0.997727579,0.197348768,0.178596727,0.198318121,0.9954
59,0.159320294,0.428305805,0.351872318,0.437865833,0.391955802,0.393897984,0.271911161,0.342172928,0.286457389,0.300180492,0.498452768,0.607861978,0.620464583,0.57559311,0.351872318,0.437865833,0.391955802,0.393897984,0.996341548,0.992166007,0.997019952,0.997728542,0.168890638,0.142857676,0.195427496,0.9954
60,0.159256919,0.445608384,0.274262301,0.321530116,0.244004067,0.279932162,0.178698831,0.226560303,0.146984653,0.184081262,0.58952475,0.55358074,0.717796094,0.620300528,0.274262301,0.321530116,0.244004067,0.279932162,0.99257325,0.987331193,0.99196784,0.997673944,0.224654735,0.139484606,0.187455278,0.9954
61,0.159110126,0.432426999,0.354858127,0.438354489,0.296412203,0.363208273,0.274800302,0.371336822,0.187277418,0.277804847,0.50073883,0.534889637,0.710384465,0.582004311,0.354858127,0.438354489,0.296412203,0.363208273,0.996377839,0.993929474,0.994055754,0.997769195,0.065366782,0.059150771,0.070841165,0.9954
62,0.159076123,0.452865335,0.278968811,0.377366121,0.195236039,0.28385699,0.185349871,0.318135548,0.111735191,0.205073537,0.563679364,0.463697452,0.772631234,0.600002684,0.278968811,0.377366121,0.195236039,0.28385699,0.993209105,0.99333757,0.988156744,0.997760304,0.109621289,0.120186958,0.113941449,0.9954
63,0.159051117,0.432014638,0.359962286,0.505869529,0.407881073,0.424570963,0.274845356,0.464873797,0.303404009,0.347707721,0.521450394,0.554795135,0.622101507,0.566115679,0.359962286,0.505869529,0.407881073,0.424570963,0.996228872,0.995718796,0.997245979,0.997816665,0.217600845,0.141156133,0.176325079,0.9954
64,0.159026096,0.424383437,0.367256501,0.435626731,0.378872592,0.393918608,0.29393541,0.341759448,0.267580787,0.301091881,0.489314071,0.600581914,0.648663936,0.579519974,0.367256501,0.435626731,0.378872592,0.393918608,0.996778217,0.992245595,0.996576495,0.997871488,0.171487214,0.13508767,0.198633106,0.9954
65,0.158995493,0.440315313,0.364031708,0.520642724,0.475342401,0.453338944,0.341403431,0.461192094,0.423414711,0.408670079,0.389872525,0.597688637,0.541787339,0.509782834,0.364031708,0.520642724,0.475342401,0.453338944,0.997938467,0.995318994,0.998577433,0.997527566,0.189320549,0.190018915,0.210317991,0.9954
66,0.158975276,0.445861856,0.310512943,0.380943481,0.270405118,0.320620514,0.214927597,0.295029797,0.166848019,0.225601804,0.55921352,0.537451063,0.712844095,0.603169559,0.310512943,0.380943481,0.270405118,0.320620514,0.99440099,0.991390936,0.993136524,0.997713832,0.14884832,0.098525594,0.11942006,0.9954
67,0.15892201,0.438035232,0.349280651,0.439093598,0.299040157,0.362471469,0.261687464,0.373285426,0.19030786,0.275093583,0.525016497,0.533071111,0.697631613,0.58523974,0.349280651,0.439093598,0.299040157,0.362471469,0.995939811,0.994000349,0.994276842,0.997854318,0.168927111,0.135218952,0.157449702,0.9954
68,0.158913717,0.438038045,0.318302114,0.379778815,0.316422668,0.338167866,0.222059509,0.284674464,0.205905494,0.237546489,0.561784699,0.57030789,0.683030856,0.605041148,0.318302114,0.379778815,0.316422668,0.338167866,0.994605354,0.990393245,0.994920851,0.997844309,0.18022618,0.119767898,0.179672032,0.9954
