epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
42,0.7624,0.759,0.9876,0.9806,0.3639,0.6239,0.3603,0.4245,0.4141,0.5319,0.4245,0.9989,0.2549,0.4988,0.3747,0.8979,0.4988,0.9906,0.1559,0.5887,0.5204,0.8103,0.5887,0.9983,0.3803
43,0.7576,0.7496,0.9885,0.9502,0.2848,0.5787,0.2848,0.4167,0.4062,0.5252,0.4167,0.9988,0.2513,0.5172,0.3919,0.8975,0.5172,0.9915,0.1634,0.5963,0.5163,0.8308,0.5963,0.9983,0.387
44,0.7534,0.748,0.9894,0.9544,0.2813,0.5802,0.2813,0.4388,0.4228,0.5506,0.4388,0.9989,0.2601,0.5364,0.4114,0.9003,0.5364,0.9922,0.1716,0.6052,0.5313,0.8219,0.6052,0.9985,0.397
45,0.7468,0.7718,0.9894,0.9544,0.2931,0.6147,0.2931,0.4619,0.4724,0.5374,0.4619,0.9992,0.288,0.5288,0.4008,0.9115,0.5288,0.9918,0.1684,0.6114,0.5285,0.8407,0.6114,0.9984,0.3895
46,0.7444,0.8031,0.9891,0.9406,0.271,0.6274,0.271,0.4304,0.4144,0.5504,0.4304,0.9987,0.2652,0.5263,0.4013,0.9005,0.5263,0.9921,0.1677,0.6129,0.5427,0.8292,0.6129,0.9985,0.4087
47,0.739,0.7563,0.9867,0.9639,0.2975,0.5826,0.2975,0.4265,0.411,0.5411,0.4265,0.9989,0.248,0.5037,0.3848,0.9005,0.5037,0.9896,0.1655,0.5915,0.5273,0.817,0.5915,0.9983,0.3839
48,0.7363,0.74,0.9881,0.9818,0.3651,0.6182,0.3651,0.4005,0.3979,0.516,0.4005,0.9987,0.2392,0.5161,0.3996,0.8745,0.5161,0.9913,0.1727,0.5946,0.5305,0.81,0.5946,0.9984,0.3847
49,0.7304,0.741,0.9886,0.9813,0.368,0.5932,0.3644,0.4178,0.4156,0.5296,0.4178,0.9989,0.252,0.5198,0.4038,0.8795,0.5198,0.9918,0.1711,0.5777,0.5062,0.8063,0.5777,0.9983,0.3763
50,0.7229,0.7553,0.9897,0.9883,0.4174,0.5905,0.4174,0.4457,0.4626,0.5358,0.4457,0.9991,0.2709,0.5301,0.4078,0.8934,0.5301,0.9924,0.1722,0.6078,0.5423,0.8147,0.6078,0.9985,0.3965
51,0.7171,0.7489,0.9905,0.9782,0.3526,0.6517,0.3526,0.4531,0.4506,0.5405,0.4531,0.999,0.2759,0.5586,0.4393,0.8993,0.5586,0.9931,0.1937,0.6368,0.5666,0.8315,0.6368,0.9986,0.422
