epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
50,0.8179,0.8087,0.985,0.9817,0.3357,0.5819,0.3357,0.4113,0.4977,0.469,0.4113,0.9988,0.1933,0.4275,0.32,0.7475,0.4275,0.9915,0.1231,0.1683,0.1111,0.5292,0.1683,0.9925,0.0995
51,0.8178,0.8119,0.9847,0.9799,0.3295,0.5914,0.3295,0.4132,0.5073,0.4704,0.4132,0.9988,0.1943,0.4094,0.2963,0.7804,0.4094,0.9895,0.1131,0.1659,0.1095,0.5233,0.1659,0.9924,0.0987
52,0.8175,0.8097,0.9849,0.9784,0.3178,0.5787,0.3178,0.3816,0.5165,0.4042,0.3816,0.9992,0.1873,0.401,0.2871,0.7872,0.401,0.9882,0.1083,0.1709,0.1123,0.5448,0.1709,0.9918,0.0991
53,0.8173,0.8114,0.9851,0.9793,0.3262,0.5902,0.3262,0.411,0.4952,0.4654,0.411,0.9988,0.1936,0.3971,0.2889,0.7513,0.3971,0.9897,0.1138,0.1706,0.112,0.554,0.1706,0.9917,0.0989
54,0.817,0.8097,0.9853,0.981,0.3343,0.5912,0.3343,0.4112,0.5158,0.4591,0.4112,0.9989,0.195,0.4201,0.3065,0.7792,0.4201,0.9903,0.1178,0.1716,0.1136,0.5353,0.1716,0.9926,0.1027
55,0.8168,0.8057,0.9851,0.9797,0.3326,0.6004,0.3326,0.4306,0.5218,0.5076,0.4306,0.9986,0.1947,0.4028,0.2875,0.7984,0.4028,0.9886,0.1072,0.1645,0.1095,0.4951,0.1645,0.993,0.1022
56,0.8168,0.8094,0.9853,0.9825,0.3359,0.5761,0.3359,0.3913,0.514,0.4296,0.3913,0.9991,0.1909,0.4473,0.3317,0.7959,0.4473,0.9911,0.1269,0.169,0.1129,0.5029,0.169,0.9933,0.1039
57,0.8165,0.8089,0.9854,0.9809,0.3351,0.5958,0.3351,0.4108,0.5372,0.4436,0.4108,0.9991,0.1986,0.4227,0.3037,0.8097,0.4227,0.9898,0.1135,0.1718,0.114,0.5341,0.1718,0.9928,0.1032
58,0.8164,0.8059,0.9852,0.9812,0.3304,0.5812,0.3304,0.3987,0.5299,0.4274,0.3987,0.9992,0.1947,0.4193,0.3073,0.7689,0.4193,0.9906,0.118,0.1731,0.1143,0.5473,0.1731,0.9926,0.1015
59,0.8163,0.8059,0.9853,0.9823,0.3398,0.5921,0.3398,0.4089,0.5216,0.4665,0.4089,0.999,0.195,0.4385,0.3242,0.79,0.4385,0.991,0.122,0.1719,0.114,0.5198,0.1719,0.9933,0.1046
60,0.8162,0.8069,0.9853,0.9795,0.3277,0.5905,0.3277,0.4164,0.4999,0.48,0.4164,0.9988,0.1915,0.3998,0.2862,0.7818,0.3998,0.9889,0.1095,0.1668,0.1113,0.5097,0.1668,0.9926,0.1039
61,0.8161,0.8086,0.9854,0.9811,0.3371,0.6011,0.3371,0.4205,0.5075,0.489,0.4205,0.9988,0.1967,0.4195,0.3036,0.7929,0.4195,0.99,0.1161,0.1711,0.1136,0.5214,0.1711,0.993,0.1042
62,0.816,0.8081,0.9854,0.9812,0.3346,0.5847,0.3346,0.4096,0.5018,0.4588,0.4096,0.999,0.1958,0.4218,0.3112,0.7588,0.4218,0.9909,0.122,0.1723,0.1143,0.5364,0.1723,0.9923,0.1043
63,0.816,0.8078,0.9853,0.9815,0.34,0.5991,0.34,0.4215,0.5359,0.4683,0.4215,0.999,0.2028,0.424,0.306,0.8045,0.424,0.99,0.1168,0.1745,0.1163,0.5246,0.1745,0.9932,0.1077
64,0.816,0.8075,0.9855,0.9762,0.3159,0.5906,0.3159,0.4129,0.505,0.476,0.4129,0.9987,0.189,0.3682,0.2575,0.7857,0.3682,0.9861,0.0985,0.1666,0.1114,0.5102,0.1666,0.9919,0.1041
65,0.8158,0.809,0.9854,0.9818,0.3402,0.5952,0.3402,0.4147,0.523,0.4665,0.4147,0.9989,0.1968,0.4321,0.3145,0.8025,0.4321,0.9903,0.1186,0.1739,0.116,0.5167,0.1739,0.9934,0.1061
66,0.8159,0.808,0.9856,0.9814,0.3324,0.5845,0.3324,0.4005,0.5012,0.4613,0.4005,0.9989,0.1876,0.4278,0.3121,0.7914,0.4278,0.9902,0.1188,0.169,0.1131,0.5007,0.169,0.9932,0.1059
67,0.8158,0.809,0.9855,0.9814,0.3366,0.594,0.3366,0.4109,0.5278,0.4567,0.4109,0.999,0.1982,0.4235,0.3061,0.7985,0.4235,0.9901,0.1165,0.1754,0.1171,0.5268,0.1754,0.9931,0.108
68,0.8158,0.808,0.9854,0.9819,0.3407,0.5945,0.3407,0.4174,0.5194,0.4645,0.4174,0.999,0.1989,0.4295,0.3144,0.7838,0.4295,0.9908,0.1228,0.1751,0.1165,0.5354,0.1751,0.993,0.107
69,0.8158,0.8073,0.9856,0.9813,0.3344,0.5902,0.3344,0.4093,0.4967,0.4692,0.4093,0.9989,0.1929,0.4215,0.3081,0.7751,0.4215,0.9905,0.1196,0.1725,0.1149,0.5262,0.1725,0.9928,0.1065
70,0.8158,0.8086,0.9855,0.9828,0.3438,0.5916,0.3438,0.412,0.5378,0.4575,0.412,0.9991,0.2007,0.4415,0.329,0.7779,0.4415,0.9915,0.1288,0.178,0.1182,0.5394,0.178,0.9933,0.1075
71,0.8157,0.8074,0.9856,0.9823,0.3425,0.5913,0.3425,0.4173,0.5047,0.4747,0.4173,0.9989,0.1986,0.4371,0.3245,0.7716,0.4371,0.9914,0.1277,0.173,0.1151,0.5276,0.173,0.993,0.1064
72,0.8157,0.8075,0.9855,0.9792,0.3271,0.5919,0.3271,0.4101,0.5019,0.4673,0.4101,0.9988,0.1928,0.4016,0.2861,0.7931,0.4016,0.9886,0.1084,0.1697,0.1134,0.5153,0.1697,0.9925,0.1058
73,0.8156,0.8074,0.9856,0.9808,0.3367,0.5948,0.3367,0.4198,0.5258,0.4635,0.4198,0.999,0.1991,0.4173,0.3008,0.7923,0.4173,0.9898,0.1149,0.1731,0.1154,0.5287,0.1731,0.9928,0.1066
74,0.8155,0.8067,0.9857,0.9811,0.3335,0.5859,0.3335,0.4052,0.5208,0.444,0.4052,0.9991,0.1957,0.4208,0.3061,0.7817,0.4208,0.9902,0.1172,0.1747,0.1165,0.5321,0.1747,0.9928,0.107
75,0.8156,0.8087,0.9856,0.9814,0.3372,0.5904,0.3372,0.406,0.5191,0.4444,0.406,0.9991,0.1981,0.4306,0.3146,0.7874,0.4306,0.9906,0.1219,0.1752,0.1163,0.5394,0.1752,0.9927,0.1054
76,0.8156,0.8061,0.9856,0.9804,0.3327,0.5946,0.3327,0.4123,0.5412,0.4528,0.4123,0.999,0.1972,0.413,0.2938,0.8142,0.413,0.9889,0.1096,0.173,0.116,0.517,0.173,0.9932,0.1078
77,0.8156,0.8069,0.9855,0.9812,0.3312,0.5812,0.3312,0.4009,0.5149,0.4404,0.4009,0.9991,0.192,0.4198,0.3076,0.7723,0.4198,0.9904,0.1178,0.1729,0.1153,0.5309,0.1729,0.9927,0.106
78,0.8154,0.8075,0.9857,0.9811,0.3346,0.5915,0.3346,0.4104,0.5117,0.4552,0.4104,0.9991,0.1948,0.4215,0.3049,0.7933,0.4215,0.9901,0.1158,0.172,0.1148,0.5261,0.172,0.9928,0.1067
