epoch,train_loss,val_loss,train_acc,val_acc,total_dice,total_recall,total_f1_score,dice_wt,precision_wt,recall_wt,f1_wt,specificity_wt,boundary_dice_wt,dice_tc,precision_tc,recall_tc,f1_tc,specificity_tc,boundary_dice_tc,dice_et,precision_et,recall_et,f1_et,specificity_et,boundary_dice_et
55,0.6994,0.7094,0.9929,0.9904,0.4539,0.6083,0.4468,0.3146,0.3383,0.4155,0.3146,0.9975,0.1793,0.5738,0.4841,0.804,0.5738,0.9951,0.2704,0.4733,0.4286,0.6055,0.4518,0.9986,0.3706
56,0.6991,0.708,0.9929,0.9908,0.4588,0.5988,0.4516,0.321,0.37,0.3912,0.321,0.9982,0.1847,0.5686,0.4655,0.8378,0.5686,0.9943,0.2526,0.4867,0.4744,0.5675,0.4652,0.999,0.392
57,0.6991,0.7093,0.9927,0.9894,0.4392,0.6072,0.4357,0.313,0.3226,0.4136,0.313,0.9974,0.1776,0.5458,0.4508,0.8057,0.5458,0.9943,0.2371,0.4589,0.4266,0.6023,0.4481,0.9983,0.3679
58,0.6989,0.7082,0.9928,0.9897,0.448,0.6094,0.4409,0.3097,0.3195,0.4086,0.3097,0.9975,0.1778,0.558,0.4581,0.8224,0.558,0.9944,0.2479,0.4763,0.4371,0.5972,0.4548,0.9986,0.3765
59,0.6988,0.7081,0.9927,0.9905,0.4555,0.6099,0.4483,0.3149,0.3367,0.4046,0.3149,0.9977,0.1822,0.5734,0.4743,0.8255,0.5734,0.9949,0.2599,0.4782,0.4352,0.5994,0.4567,0.9987,0.3796
60,0.6988,0.7095,0.9928,0.9894,0.4342,0.6009,0.4306,0.3154,0.34,0.3919,0.3154,0.9978,0.1749,0.537,0.4405,0.8005,0.537,0.9941,0.2296,0.45,0.4123,0.6104,0.4393,0.9981,0.3521
61,0.6987,0.7079,0.9926,0.9896,0.4529,0.6047,0.4457,0.3242,0.3414,0.4177,0.3242,0.9978,0.1803,0.5532,0.4536,0.8271,0.5532,0.9937,0.2475,0.4812,0.4657,0.5694,0.4597,0.9988,0.3874
62,0.6986,0.7078,0.9927,0.9892,0.4478,0.6052,0.4443,0.3399,0.3713,0.4197,0.3399,0.9981,0.1885,0.5345,0.4342,0.8209,0.5345,0.9931,0.2315,0.4691,0.4601,0.5748,0.4584,0.9986,0.3858
63,0.6985,0.7084,0.9927,0.99,0.4467,0.6037,0.4395,0.3038,0.3171,0.3997,0.3038,0.9975,0.1739,0.5609,0.466,0.8125,0.5609,0.9948,0.247,0.4753,0.4324,0.5987,0.4538,0.9985,0.3782
64,0.6985,0.7075,0.9926,0.9905,0.4567,0.6069,0.4495,0.3201,0.3488,0.4083,0.3201,0.9979,0.1828,0.5646,0.4618,0.8333,0.5646,0.9945,0.2449,0.4853,0.4586,0.5791,0.4638,0.9988,0.3886
